Ar Rass,110.29,Al Malqa
Ar Rass,165,Dariyah
Al Majma’ah,108.74,Thadiq
Al Majma’ah,50.22,Al Ghat
Al Majma’ah,272.61,Hafar Al Batin
Az Zulfi,80.72,Al Majma’ah
Az Zulfi,46.39,Al Ghat
Az Zulfi,103.52,Unayzah
Az Zulfi,73.8,Ash Shimasiyah
Az Zulfi,355.52,Aqla
Az Zulfi,297.94,Hafar Al Batin
Shaqra,127.48,Al Duwadimi
Shaqra,86.52,Al Majma’ah
Shaqra,84.88,Thadiq
Shaqra,105.42,Huraymila
Shaqra,36.86,Marat
Shaqra,241.7,Al Malqa
Shaqra,103.55,Umm Hazim
Al Duwadimi,170.74,Afif
Al Duwadimi,160.58,Marat
Al Duwadimi,200.21,Ar Rayn
Al Duwadimi,244.11,Al Malqa
Al Duwadimi,173.8,Ad Diriyah
Al Quwaiiyah,133.61,Al Duwadimi
Al Quwaiiyah,181.78,Shaqra
Al Quwaiiyah,119.55,Dhurma
Al Quwaiiyah,118.86,Al Muzahmiya
Al Quwaiiyah,152.37,Marat
Al Quwaiiyah,427.51,Al Muwayah
Howtat Bani Tamim,101.8,Al Kharj
Howtat Bani Tamim,143.95,Aflaj
Howtat Bani Tamim,62.78,Al Hariq
Howtat Bani Tamim,91.08,Ad Dilam
Al Kharj,118.49,Ad Dilam
Al Kharj,373.65,Al Ahsa
Ar Rayn,77.37,Al Quwaiiyah 
Ar Rayn,421.16,Wadi ad-Dawasir
Ar Rayn,140.94,Dhurma
Ar Rayn,141.03,Al Muzahmiya
Ar Rayn,127.08,Al Hariq
Ar Rayn,444.5,Ranyah
Riyadh,38.36,Ad Diriyah
Riyadh,87.03,Al Kharj
Riyadh,217.64,Al Majma’ah
Riyadh,142.98,Howtat Bani Tamim
Riyadh,110.27,Al Muzahmiya
Riyadh,109.59,Huraymila
Riyadh,285.36,Urayarah
Riyadh,98.13,Ad Dilam
Riyadh,414.71,Dammam
Rumah,121.53,Riyadh
Rumah,234.46,Al Majma’ah
Rumah,191.24,Thadiq
Rumah,199.89,Huraymila
Rumah,394.51,Hafar Al Batin
Rumah,485.02,Al Jubail
Rumah,397.02,Khafji
Rumah,297.32,Nairyah 
Dhurma,72.94,Riyadh
Dhurma,70.38,Ad Diriyah
Dhurma,23.44,Al Muzahmiya
Dhurma,101.05,Thadiq
Dhurma,141.61,Huraymila
Dhurma,90.4,Marat
Dammam,15.99,Al Qatif
Dammam,25.71,Al Khobar
Dammam,69.19,Buqayq
Dammam,171.29,Al Ahsa
Dammam,146.2,Urayarah
Al Ahsa,100.22,Buqayq
Al Ahsa,172.89,Al Khobar
Al Ahsa,371.08,Riyadh 
Al Ahsa,373.65,Al Kharj
Al Jubail,71.36,Al Qatif
Al Jubail,235.51,Khafji
Al Jubail,88.15,Ras Tanura
Al Jubail,152.27,Nairyah 
Al Qatif,61.5,Ras Tanura
Al Qatif,71.36,Al Jubail
Khafji,288,Hafar Al Batin
Khafji,235.51,Al Jubail
Khafji,131.18,Nairyah 
Khafji,436.56,Huraymila
Khafji,397.02,Rumah
Buqayq,88.12,Al Khobar
Buqayq,275.61,Nairyah 
